kMDItemTitle,Blank Column,Blank Column,Attribute Description,Blank Column,Blank Column,Widget Type,Blank Column,Blank Column,Metadata Attribute Name,Blank Column,Blank Column,Data Type
Custom FLD 3,,,-,,,0,,,com_microsoft_outlook_customFld3,,,0
Custom FLD 4,,,-,,,0,,,com_microsoft_outlook_customFld4,,,0
Custom FLD 5,,,-,,,0,,,com_microsoft_outlook_customFld5,,,0
Custom FLD 6,,,-,,,0,,,com_microsoft_outlook_customFld6,,,0
Custom FLD 7,,,-,,,0,,,com_microsoft_outlook_customFld7,,,0
Custom FLD 8,,,-,,,0,,,com_microsoft_outlook_customFld8,,,0
Department,,,-,,,0,,,com_microsoft_outlook_department,,,0
Outlook End Date,,,-,,,8,,,com_microsoft_outlook_endDate,,,0
First Name,,,-,,,0,,,com_microsoft_outlook_firstName,,,0
First Name Furigana,,,-,,,0,,,com_microsoft_outlook_firstNameFurigana,,,0
Flag,,,-,,,0,,,com_microsoft_outlook_flag,,,0
Folder ID,,,-,,,2,,,com_microsoft_outlook_folderID,,,0
Forwarded,,,-,,,0,,,com_microsoft_outlook_forwarded,,,0
Free Busy,,,-,,,0,,,com_microsoft_outlook_freeBusy,,,0
Free Busy Value,,,-,,,2,,,com_microsoft_outlook_free_busy_value,,,0
Furigana Full Name,,,-,,,0,,,com_microsoft_outlook_furigana_full_name,,,0
Has Due Date,,,-,,,8,,,com_microsoft_outlook_hasDueDate,,,0
Has Start Date,,,-,,,8,,,com_microsoft_outlook_hasStartDate,,,0
Has Attachments,,,-,,,1,,,com_microsoft_outlook_has_attachments,,,0
Has Mentioned Me,,,-,,,1,,,com_microsoft_outlook_has_mentioned_me,,,0
Has Reminder,,,-,,,1,,,com_microsoft_outlook_has_reminder,,,0
Has Text Content,,,-,,,1,,,com_microsoft_outlook_has_text_content,,,0
Home City,,,-,,,0,,,com_microsoft_outlook_homeCity,,,0
Home Country,,,-,,,0,,,com_microsoft_outlook_homeCountry,,,0
Home State,,,-,,,0,,,com_microsoft_outlook_homeState,,,0
Home Street,,,-,,,0,,,com_microsoft_outlook_homeStreet,,,0
Home URL,,,-,,,0,,,com_microsoft_outlook_homeURL,,,0
Home Zip,,,-,,,0,,,com_microsoft_outlook_homeZip,,,0
Interests,,,-,,,0,,,com_microsoft_outlook_interests,,,0
Is From Mailing List,,,-,,,1,,,com_microsoft_outlook_isFromMailingList,,,0
Is Group,,,-,,,1,,,com_microsoft_outlook_isgroup,,,0
Japanese,,,-,,,0,,,com_microsoft_outlook_japanese,,,0
Job Title,,,-,,,0,,,com_microsoft_outlook_jobTitle,,,0
Junk Likelihood,,,-,,,0,,,com_microsoft_outlook_junkLikelihood,,,0
Last Name,,,-,,,0,,,com_microsoft_outlook_lastName,,,0
Last Name Furigana,,,-,,,0,,,com_microsoft_outlook_lastNameFurigana,,,0
Message Received,,,-,,,0,,,com_microsoft_outlook_messageReceived,,,0
Message Sent,,,-,,,0,,,com_microsoft_outlook_messageSent,,,0
News AccountID,,,-,,,2,,,com_microsoft_outlook_newsAccountID,,,0
Nickname,,,-,,,0,,,com_microsoft_outlook_nickname,,,0
Notes,,,-,,,0,,,com_microsoft_outlook_notes,,,0
Other City,,,-,,,0,,,com_microsoft_outlook_otherCity,,,0
Other Country,,,-,,,0,,,com_microsoft_outlook_otherCountry,,,0
Other State,,,-,,,0,,,com_microsoft_outlook_otherState,,,0
Other Street,,,-,,,0,,,com_microsoft_outlook_otherStreet,,,0
Other Zip,,,-,,,0,,,com_microsoft_outlook_otherZip,,,0
Parent RecordID,,,-,,,0,,,com_microsoft_outlook_parentRecordID,,,0
Primary Category,,,-,,,0,,,com_microsoft_outlook_primaryCategory,,,0
Priority,,,-,,,0,,,com_microsoft_outlook_priority,,,0
Outlook Projects,,,-,,,0,,,com_microsoft_outlook_projects,,,0
Record ID,,,-,,,2,,,com_microsoft_outlook_recordID,,,0
Recpient Email Addresses,,,-,,,0,,,com_microsoft_outlook_recpient_email_addresses,,,0
Recurrence,,,-,,,0,,,com_microsoft_outlook_recurrence,,,0
Recurrence Type,,,-,,,0,,,com_microsoft_outlook_recurrence_type,,,0
Recurring,,,-,,,0,,,com_microsoft_outlook_recurring,,,0
Redirected,,,-,,,0,,,com_microsoft_outlook_redirected,,,0
Outlook Replied To,,,-,,,0,,,com_microsoft_outlook_repliedTo,,,0
Size,,,-,,,4,,,com_microsoft_outlook_size,,,0
Spouse,,,-,,,0,,,com_microsoft_outlook_spouse,,,0
Spouse Furigana,,,-,,,0,,,com_microsoft_outlook_spouseFurigana,,,0
Outlook Start Date,,,-,,,8,,,com_microsoft_outlook_startDate,,,0
Suffix,,,-,,,0,,,com_microsoft_outlook_suffix,,,0
Time Zone,,,-,,,0,,,com_microsoft_outlook_timeZone,,,0
Outlook Title,,,-,,,0,,,com_microsoft_outlook_title,,,0
To Email Addresses,,,-,,,0,,,com_microsoft_outlook_toEmailAddresses,,,0
To Recipients,,,-,,,0,,,com_microsoft_outlook_toRecipients,,,0
Unread,,,-,,,0,,,com_microsoft_outlook_unread,,,0
Work City,,,-,,,0,,,com_microsoft_outlook_workCity,,,0
Work Country,,,-,,,0,,,com_microsoft_outlook_workCountry,,,0
Work State,,,-,,,0,,,com_microsoft_outlook_workState,,,0
Work Street,,,-,,,0,,,com_microsoft_outlook_workStreet,,,0
Work URL,,,-,,,0,,,com_microsoft_outlook_workURL,,,0
Work Zip,,,-,,,0,,,com_microsoft_outlook_workZip,,,0
